Agilent Technologies	A	Alcoa Inc	AA
Carrizo Oil & Co Inc	CRZO	Cogdell Spencer Inc	CSA
Citizens South Bkg C	CSBC	Clifton Svgs Bancorp	CSBK
Computer Sciences Co	CSC	Cascade Microtech In	CSCD
Cisco Sys Inc	CSCO	Cardiac Science Corp	CSCX
Capitalsource Inc	CSE	Centerstate Bks Fla	CSFL
Costar Group Inc	CSGP	Csg Sys Intl Inc	CSGS
Cash Amer Invts Inc	CSH	Cardiovascular Sys Inc	CSII
Carlisle Corp	CSL	Csp Inc	CSPI
Css Inds Inc	CSS	Coinstar Inc	CSTR
Capital Sr Living Co	CSU	Carriage Svcs Inc	CSV
Csx Corp	CSX	Capital Trust Inc Md	CT
Cintas Corp	CTAS	Cooper Tire & Rubr	CTB
Community Tr Bancorp	CTBI	City Bk Lynnwood Was	CTBK
Constant Contact Inc	CTCT	Citadel Broadcasting	CTDB
Computer Task Group	CTGX	Charles & Colvard Lt	CTHR
Cti Industries Corp	CTIB	Cell Therapeutics Inc	CTIC
Centurytel Inc	CTL	Consolidated Tomoka	CTO
Citi Trends Inc	CTRN	Cts Corp	CTS
Cognizant Technology	CTSH	Competitive Technolo	CTT
Commscope Inc	CTV	Conn Wtr Svc Inc	CTWS
Citrix Sys Inc	CTXS	Citizens First Banco	CTZN
Cubic Corp	CUB	Neuralstem Inc	CUR
Cutera Inc	CUTR	Cousins Pptys Inc	CUZ
Central Vt Pub Svc	CV	Covanta Hldg Corp	CVA
Cvb Finl Corp	CVBF	Cablevision Sys Corp	CVC
Cavco Inds Inc Del	CVCO	Central Valley Cmnty	CVCY
Covance Inc	CVD	Convergys Corp	CVG
Commercial Veh Group	CVGI	Calavo Growers Inc	CVGW
Coventry Health Care	CVH	Cvr Energy Inc	CVI
Community Valley Ban	CVLL	Commvault Systems In	CVLT
Codorus Vy Bancorp I	CVLY	Cel-Sci Corp	CVM
Cenveo Inc	CVO	Cvs Corp	CVS
Covenant Trans Inc	CVTI	Cpi Aerostructures I	CVU
Cvd Equip Corp	CVV	Chevron Corp	CVX
Curtiss Wright Corp	CW	Commonwealth Bankshs	CWBS
Williams Clayton Ene	CWEI	Cowlitz Bancorp Wash	CWLZ
Casella Waste Sys In	CWST	California Wtr Svc G	CWT
Coldwater Creek Inc	CWTR	Cnx Gas Corp	CXG
Cardium Therapeutics	CXM	Concho Res Inc	CXO
Crimson Exploration	CXPO	Crexus Invt Corp	CXS
Corrections Corp Ame	CXW	Cypress Semiconducto	CY
Cyanotech Corp	CYAN	Cyberoptics Corp	CYBE
Cybex Intl Inc	CYBI	Cybersource Corp	CYBS
Cyberonics Inc	CYBX	Cyclacel Pharmaceuti	CYCC
Community Health Sys	CYH	Cymer Inc	CYMI
City Natl Corp	CYN	Cynosure Inc	CYNO
Cypress Biosciences	CYPB	Cypress Sharpridge Invt	CYS
Cytec Inds Inc	CYT	Cytokinetics Inc	CYTK
Cytrx Corp	CYTR	Cytori Therapeutics	CYTX
Citizens & Northn Co	CZNC	Dominion Res Inc Va	D
Data I O Corp	DAIO	Daktronics Inc	DAKT
Delta Air Lines Inc Del	DAL	Dana Holding Corp	DAN
Darling Intl Inc	DAR	Dara Biosciences Inc	DARA
Datatrak Intl Inc	DATA	Famous Daves Amer In	DAVE
Diebold Inc	DBD	Double Eagle Pete&Mn	DBLE
Dress Barn Inc	DBRN	Double-Take Software	DBTK
Dialysis Corp Amer	DCAI	Donaldson Inc	DCI
Ducommun Inc Del	DCO	Dime Cmnty Bancorp I	DCOM
Dyncorp Intl Inc	DCP	Dct Industrial Trust	DCT
Delcath Sys Inc	DCTH	Du Pont E I De Nemou	DD
Scolr Inc	DDD	Deltathree Com Inc	DDDC
Dover Downs Gaming &	DDE	Ddi Corp	DDIC
Dynamex Inc	DDMX	Developers Diversifi	DDR
Diedrich Coffee Inc	DDRX	Dillards Inc	DDS
Deere & Co	DE	Dearborn Bancorp Inc	DEAR
Deckers Outdoor Corp	DECK	Douglas Emmett Inc	DEI
Deltic Timber Corp	DEL	Dell Inc	DELL
Dennys Corp	DENN	Duncan Energy Partne	DEP
Depomed Inc	DEPO	Destination Maternity C	DEST
Dean Foods Co New	DF	Delphi Finl Group In	DFG
Deerfield Capital Corp	DFR	Discover Finl Svcs	DFS
Dupont Fabros Technolog	DFT	Barry R G Corp Ohio	DFZ
Dollar Gen Corp New	DG	Delta Nat Gas Inc	DGAS
Digitalglobe Inc	DGI	Donegal Group Inc	DGIC.A
Digi Intl Inc	DGII	Dg Fastchannel Inc	DGIT
Digital Ally Inc	DGLY	Dgse Companies Inc	DGSE
Quest Diagnostics In	DGX	Diamondhead Casino C	DHCC
D R Horton Inc	DHI	Diamond Hill Investm	DHIL
Danaher Corp	DHR	Dht Maritime Inc	DHT
Dice Hldgs Inc	DHX	Ediets Com Inc	DIET
Digital Angel Corp New	DIGA	Dineequity Inc	DIN
Rewards Network Inc	DINE	Diodes Inc	DIOD
Disney Walt Prodtns	DIS	Discovery Communicatns	DISC.A
Dish Network Corp	DISH	Image Entmt Inc	DISK
Amcon Distrg Co	DIT	Ditech Networks Inc	DITC
Divx Inc	DIVX	Delek Us Hldgs Inc	DK
Dicks Sporting Goods	DKS	Delta Apparel Inc	DLA
Dolby Laboratories I	DLB	Delia's Inc New	DLIA
Dollar Finl Corp	DLLR	Del Monte Foods Co	DLM
Digital Rlty Tr Inc	DLR	Dollar Tree Inc	DLTR
De Luxe Check Printe	DLX	Dolan Media Co	DM
Demandtec Inc	DMAN	Document Sec Sys Inc	DMC
Dorchester Minerals	DMLP	Diamond Foods Inc	DMND
Digimarc Corp New	DMRC	Dun & Bradstreet Cor	DNB
Danvers Bancorp Inc	DNBK	Dendreon Corp	DNDN
Dune Energy Inc	DNE	Dionex Corp	DNEX
Denbury Res Inc	DNR	Diamond Offshore Dri	DO
Dole Food Co Inc New	DOLE	Dorman Products Inc	DORM
Dover Corp	DOV	Dow Chem Co	DOW
Dpl Inc	DPL	Dcp Midstream Partne	DPM
Dr Pepper Snapple Group	DPS	Delta Pete Corp	DPTR
Digital Pwr Corp	DPW	Dominos Pizza Inc	DPZ
Digigrad Corp	DRAD	Dataram Corp	DRAM
Dresser-Rand Group I	DRC	Dynamics Resh Corp	DRCO
Duke Realty Corp.	DRE	Diamondrock Hospital	DRH
Darden Restaurants I	DRI	Digital Riv Inc	DRIV
Dreams Inc	DRJ	Doral Finl Corp	DRL
Dril-Quip Inc	DRQ	Durect Corp	DRRX
Derma Sciences Inc	DSCI	Drugstore Com Inc	DSCM
Discovery Laboratori	DSCO	Dsp Group Inc	DSPG
Dst Sys Inc Del	DST	Daystar Technologies	DSTI
Dsw Inc	DSW	Dte Energy Co	DTE
Dollar Thrifty Autom	DTG	Datalink Corp	DTLK
Diamond Mgmt & Techn	DTPI	Dts Inc	DTSI
Directv	DTV	Auckwall-Alto Stores	DUCK
Duff & Phelps Corp New	DUF	Duke Energy Corp New	DUK
Dusa Pharmaceuticals	DUSA	Devry Inc Del	DV
Davita Inc	DVA	Dynavax Technologies	DVAX
Dover Motorsports In	DVD	Devon Energy Corp	DVN
Cal Dive Intl Inc De	DVR	Drew Inds Inc	DW
Dreamworks Animation	DWA	Datawatch Corp	DWCH
Design Within Reach	DWRI	Dawson Geophysical	DWSN
Dynex Cap Inc	DX	Dexcom Inc	DXCM
Dxp Enterprises Inc	DXPE	Daxor Corp	DXR
Dixie Group Inc	DXYN	Dycom Inds Inc	DY
Dyax Corp	DYAX	Dynacq Healthcare In	DYII
Dynegy Inc Del	DYN	Dynatronics Corp	DYNT
Encore Acquisition C	EAC	American Defense Sys In	EAG
Hearx Ltd	EAR	Brinker Intl Inc	EAT
Ebay Inc	EBAY	Ennis Business Forms	EBF
Bauer Eddie Hldgs In	EBHI	Ebix Com Inc	EBIX
Emergent Biosolution	EBS	Meridian Interstat Banc	EBSB
Enterprise Bancorp I	EBTC	Encore Bancshares Inc	EBTX
Echo Global Logistics I	ECHO	Ecolab Inc	ECL
Eclipsys Corp	ECLP	Energyconnect Group Inc	ECNG
American Ecology Cor	ECOL	Encore Cap Group Inc	ECPG
Consolidated Edison	ED	Edac Technologies Co	EDAC
Edci Hldgs Inc	EDCI	Empire Dist Elec Co	EDE
Edgar Online Inc	EDGR	Edgewater Technology	EDGW
Education Mgmt Corp New	EDMC	Education Rlty Tr In	EDR
Educational Dev Corp	EDUC	El Paso Elec Co	EE
Evergreen Energy Inc	EEE	Euronet Svcs Inc	EEFT
Ecology & Environmen	EEI	Enbridge Energy Part	EEP
Enbridge Energy Mana	EEQ	Electronics For Imag	EFII
Efj Inc	EFJI	Energy Focus Inc	EFOI
Enterprise Finl Svcs	EFSC	Equifax Inc	EFX
Energy Inc Mont	EGAS	Eagle Bancorp Inc Md	EGBN
8x8 Inc New	EGHT	Eagle Bulk Shipping	EGLE
Electroglas Inc	EGLQ	Energen Corp	EGN
Nic Inc	EGOV	Eastgroup Ppty Inc	EGP
Elixir Gaming Technolog	EGT	Vaalco Energy Inc	EGY
Ehealth Inc	EHTH	Employers Holdings I	EIG
Eastern Ins Hldgs In	EIHI	Edison Intl	EIX
Eastman Kodak Co	EK	Lauder Estee Cos Inc	EL
Endologix Inc	ELGX	Ems Technologies Inc	ELMG
Earthlink Inc	ELNK	Echelon Corp	ELON
Eloyalty Corp	ELOY	Electro Rent Corp	ELRC
Equity Lifestyle Ppt	ELS	Electro-Sensors Inc	ELSE
Elite Pharmaceutical	ELTP	Emulex Corp	ELX
Callaway Golf Co	ELY	Emdeon Inc	EM
Emagin Corp	EMAN	E M C Corp Mass	EMC
Emc Ins Group Inc	EMCI	Emcor Group Inc	EME
Emisphere Technologi	EMIS	Emcore Corp	EMKR
Eastern Co	EML	Emmis Communications	EMMS
Eastman Chem Co	EMN	Emerson Elec Co	EMR
Emergency Medical Sv	EMS	Enova Systems Inc	ENA
Encorium Group Inc	ENCO	Endeavour Intl Corp	END
Endo Pharmaceuticals	ENDP	Energy Conver Device	ENER
Englobal Corp	ENG	Endurance Specialty	ENH
Entremed Inc	ENMD	Enernoc Inc	ENOC
Encore Energy Partners	ENP	Energizer Hldgs Inc	ENR
Enersys	ENS	Ensign Group Inc	ENSG
Entegris Inc	ENTG	Entorian Technologies I	ENTN
Entropic Communications	ENTR	Endwave Corp	ENWV
Enzo Biochem Inc	ENZ	Enzon Pharmaceutic	ENZN
Eog Res Inc	EOG	Eon Communications Corp	EONC
El Paso Corp	EP	Ambassadors Group In	EPAX
Bottomline Tech Del	EPAY	El Paso Pipeline Partne	EPB
Epicept Corp	EPCT.D	Enterprise Prods Par	EPD
Enterprise Gp Hldgs	EPE	Edge Pete Corp Del	EPEX
Environmental Pwr Co	EPG	Epoch Holding Corp	EPHC
Epicor Software Corp	EPIC	Epiq Sys Inc	EPIQ
Epix Pharmaceuticals	EPIX	Energy Partners Ltd	EPL
Evolution Petroleum	EPM	Entertainment Pptys	EPR
Equinix Inc	EQIX	Equity Residential P	EQR
Eqt Corp	EQT	Equity One	EQY
Eresearchtechnology	ERES	Erie Indty Co	ERIE
Energy Recovery Inc	ERII	Eagle Rock Energy Pa	EROC
Electronic Arts	ERTS	Energysolutions Inc	ES
Esb Finl Corp	ESBF	Elmira Svgs Bk Fsb N	ESBK
Emeritus Corp	ESC	Escalade Inc	ESCA
Evans&Sutherland Com	ESCC	Esco Technologies In	ESE
Enstar Group Limited	ESGR	Itt Educational Serv	ESI
Easylink Services Intl	ESIC	Electro Scientific	ESIO
Esterline Technologi	ESL	Evergreen Solar Inc	ESLR
Escalon Med Corp	ESMC	Espey Mfg & Electrs	ESP
Express Scripts Inc	ESRX	Essex Ppty Tr Inc	ESS
Essa Bancorp Inc	ESSA	Elecsys Corp	ESYS
Energy Transfer Equi	ETE	E-Trade Finl Grp	ETFC
Ethan Allen Interior	ETH	Entercom Communicati	ETM
Eaton Corp	ETN	Energy Transfer Prtn	ETP
Entergy Corp New	ETR	Enteromedics Inc	ETRM
Eurobancshares Inc	EUBK	Eaton Vance Corp	EV
Evans Bancorp Inc	EVBN	Eastern Va Bankshare	EVBS
Entravision Communic	EVC	Ev Energy Partners L	EVEP
Evolving Sys Inc	EVOL	Evercore Partners In	EVR
Ev3 Inc	EVVV	Edwards Lifesciences	EW
East West Bancorp In	EWBC	Exactech Inc	EXAC
Exar Corp	EXAR	Exact Sciences Corp	EXAS
Corporate Executive	EXBD	Exelon Corp	EXC
Exelixis Inc	EXEL	Exterran Hldgs Inc	EXH
Exterran Partners Lp	EXLP	Exlservice Holdings	EXLS
Excel Maritime Carri	EXM	Eagle Materials Inc	EXP
Expeditors Intl Wash	EXPD	Expedia Inc Del	EXPE
Exponet Inc	EXPO	Extra Space Storage	EXR
Extreme Networks Inc	EXTR	Ezcorp Inc	EZPW
Ford Mtr Co Del	F	First Acceptance Cor	FAC
Physicians Formula H	FACE	Facet Biotech Corp	FACT
First Amern Finl Cor	FAF	Falconstor Software	FALC
Farmer Bros Co	FARM	Faro Technologies In	FARO
Fastenal Co	FAST	Flagstar Bancorp Inc	FBC
Fbr Capital Markets Cor	FBCM	Firstbank Corp Mich	FBMI
Furniture Brands Int	FBN	First Bancorp N C	FBNC
First Bancorp P R	FBP	Franklin Covey Co	FC
First California Financ	FCAL	First Cmnty Bancshar	FCBC
Forest City Enterpri	FCE.A	Fuelcell Energy Inc	FCEL
First Comwlth Finl P	FCF	Firstcity Finl Corp	FCFC
First Cash Finl Svcs	FCFS	Felcor Lodging Tr In	FCH
Fti Consulting Inc	FCN	First Citizens Bancs	FCNC.A
Fairchild Semiconduc	FCS	First Capital Bancor	FCVA
Freeport-Mcmoran Cop	FCX	First Ctzns Banc Cor	FCZA
First Defiance Finl	FDEF	Federal Mogul Corp	FDML
Family Dlr Stores In	FDO	Fresh Del Monte Prod	FDP
Factset Resh Sys Inc	FDS	Fedex Corp	FDX
First Energy Corp	FE	Fei Co	FEIC
Frequency Electrs In	FEIM	Franklin Elec Inc	FELE
Franklin Electr Publ	FEP	First Finl Bancorp	FFBC
First Fed Bancshares	FFBH	First Financial Hldg	FFCH
Frozen Food Expr Ind	FFEX	Fbl Finl Group Inc	FFG
Flushing Finl Corp	FFIC	First Finl Bankshare	FFIN
F5 Networks Inc	FFIV	Farmers Cap Bk Corp	FFKT
First Financial Northwe	FFNW	First Fed Bankshares	FFSX
Ferrellgas Partners	FGP	Fgx International Hldgs	FGXI
Female Health Co	FHCO	First Horizon Natl C	FHN
Fair Isaac Corp	FICO	Financial Fed Corp	FIF
Fortress Investment	FIG	Fortress Intl Group Inc	FIGI
Federated Invs Inc P	FII	Finish Line Inc	FINL
Sourcefire Inc	FIRE	Fidelity Natl Inform	FIS
Financial Instns Inc	FISI	Fiserv Inc	FISV
Health Fitness Corp	FIT	Fifth Third Bancorp	FITB
Comfort Sys Usa Inc	FIX	National Beverage Co	FIZZ
Foot Locker Inc	FL	Flanders Corp	FLDR
First Long Is Corp	FLIC	Flir Sys Inc	FLIR
Full House Resorts I	FLL	Flowers Foods Inc	FLO
Flow Intl Corp	FLOW	Fluor Corp	FLR
Flowserve Corp	FLS	1 800 Flowers Com	FLWS
Flexsteel Inds Inc	FLXS	First Mariner Bancor	FMAR
First Midwest Bancor	FMBI	F M C Corp	FMC
First Marblehead Cor	FMD	Firstmerit Corp	FMER
First M & F Corp	FMFC	First Mercury Financ	FMR
Fnb Corp	FNB	F N B Corp N C	FNBN
Fortunet Inc	FNET	Fidelity Natl Title	FNF
First Niagara Finl G	FNFG	First Bancorp Inc Me	FNLC
Finlay Enterprises I	FNLQ	Fannie Mae	FNM
First Natl Bancshare	FNSC	Finisar Corp	FNSR
Fonix Corp Del	FNXC	Fortune Brands Inc	FO
Ferro Corp	FOE	Fredericks Hollywood Gr	FOH
Amicus Therapeutics Inc	FOLD	Fonar Corp	FONR
Vaughan Foods Inc	FOOD	Forestar Real Estate Gr	FOR
Forward Inds Inc N Y	FORD	Formfactor Inc	FORM
Forrester Resh Inc	FORR	Fossil Inc	FOSL
1st Pacific Bank	FPBN	First Pl Finl Corp	FPFC
Fpic Ins Group Inc	FPIC	Fpl Group Inc	FPL
First Potomac Rlty T	FPO	Fieldpoint Petroleum	FPP
First Pactrust Banco	FPTB	First Industrial Rea	FR
Republic First Banco	FRBK	Friedman Inds Inc	FRD
Freddie Mac	FRE	Freds Inc	FRED
First Regional Banco	FRGB	Furmanite Corporation	FRM
First Merchants Corp	FRME	Fairpoint Communicat	FRP
Force Protection Inc	FRPT	Frischs Restaurants	FRS
Federal Realty Invt	FRT	Forest Labs Inc	FRX
Reddy Ice Hldgs Inc	FRZ	First South Bancorp	FSBK
Fisher Cos Inc	FSCI	First Sec Group Inc	FSGI
Fsi Intl Inc	FSII	First Solar Inc	FSLR
First St Bancorporat	FSNM	Fusion Telecomm Intl	FSNN
Franklin Street Ppty	FSP	Flagstone Reinsurance H	FSR
Federal Signal Corp	FSS	Forest Oil Corp	FST
First St Finl Corp F	FSTF	Foster L B Co	FSTR
Fuel Sys Solutions I	FSYS	Frontier Finl Corp Wash	FTBK
Fuel-Tech N V	FTEK	Fmc Technologies Inc	FTI
Flotek Inds Inc Del	FTK	Fortinet Inc	FTNT
Frontier Oil Corp	FTO	Frontier Communications	FTR
Fibertower Corp	FTWR	Smf Energy Corporation	FUEL
Fuller H B Co	FUL	Fulton Finl Corp Pa	FULT
Cedar Fair L P	FUN	First Utd Corp	FUNC
Winthrop Rlty Tr	FUR	Five Star Quality Ca	FVE
Forward Air Corp	FWRD	Fox Chase Bancorp	FXCB
Fx Energy Inc	FXEN	Fx Real Estate	FXRE
Genpact Limited	G	German Amern Bancorp	GABC
Gaiam Inc	GAIA	Great Atl & Pac Tea	GAP
Nicor Inc	GAS	Greatbatch Inc	GB
Glacier Bancorp Inc	GBCI	Grubb & Ellis Co	GBE
Green Builders Inc	GBH	Gamco Investors Inc	GBL
Guaranty Bancorp Del	GBNK	Greenbrier Cos Inc	GBX
Global Cash Access H	GCA	Granite City Food & Bre	GCFB.D
Gannett Inc	GCI	Genesco Inc	GCO
Globecomm Systems In	GCOM	General Dynamics Cor	GD
Gardner Denver Machy	GDI	Goodrich Pete Corp	GDP
Guardian Technologie	GDTI	General Elec Co	GE
Greif Inc	GEF	Genesis Energy L P	GEL
Gencor Inds Inc	GENC	Genzyme Corp	GENZ
Geo Group Inc	GEO	Georesources Inc	GEOI
Geoeye Inc	GEOY	Geron Corp	GERN
Guess Inc	GES	Gaylord Entmt Co New	GET
Genta Inc	GETA	Griffon Corp	GFF
Guaranty Finl Group Inc	GFG	Gfi Group Inc	GFIG
Georgia Gulf Corp	GGC	Graco Inc	GGG
Gigoptix Inc	GGOX	General Growth Pptys	GGP
Genomic Health Inc	GHDX	Greenhill & Co Inc	GHL
Graham Corp	GHM	Gulfstream Intl Group I	GIA
Gulf Island Fabricat	GIFI	Giga Tronics Inc	GIGA
G-Iii Apparel Group	GIII	Gilead Sciences Inc	GILD
General Mls Inc	GIS	Gramercy Cap Corp	GKK
G & K Svcs Inc	GKSR	Global Crossing Ltd	GLBC
Global Inds Ltd	GLBL	Golden Enterprises	GLDC
Great Lakes Dredge &	GLDD	Gulfmark Offshore In	GLF
Glg Partners Inc	GLG	Globaloptions Group Inc	GLOI
Global Partners Lp	GLP	Greenlight Capital Re L	GLRE
Glatfelter P H Co	GLT	Glu Mobile Inc	GLUU
Corning Inc	GLW	Green Mtn Coffee Roa	GMCR
Gamestop Corp New	GME	Geomet Inc Del	GMET
General Moly Inc	GMO	General Maritime Corp N	GMR
Gatx Corp	GMT	Gametech Internation	GMTC
Gander Mountain Co	GMTN	Gmx Res Inc	GMXR
General Communicatio	GNCM.A	Global Traffic Netwo	GNET
Global Energy Hldgs Gro	GNH	Genco Shipping & Tra	GNK
Gentex Corp	GNTX	Genvec Inc	GNVC
Genworth Finl Inc	GNW	Geokinetics Inc	GOK
Golfsmith Intl Holdi	GOLF	Gladstone Coml Corp	GOOD
Google Inc	GOOG	Geopharma Inc	GORX
Government Pptys Income	GOV	Genuine Parts Co	GPC
Group 1 Automotive I	GPI	Gaming Partners Intl	GPIC
Graphic Packaging Hldg	GPK	Global Pmts Inc	GPN
Gulfport Energy Corp	GPOR	Geopetro Resources C	GPR
Green Plains Renewab	GPRE	Gen-Probe Inc New	GPRO
Gap Inc	GPS	Gp Strategies Corp	GPX
Goodrich B F Co	GR	Grace W R & Co Del N	GRA
Bank Granite Falls N	GRAN	Gerber Scientific In	GRB
Gorman Rupp Co	GRC	Greenhunter Energy Inc	GRH
Griffin Ld & Nurseri	GRIF	Graymark Healthcare Inc	GRMH
Garmin Ltd	GRMN	Greene Cnty Bancshar	GRNB
U S Global Invs Inc	GROW	Glimcher Rlty Tr	GRT
Goldman Sachs Group	GS	Globalstar Inc	GSAT
Globalscape Inc	GSB	Great Southn Bancorp	GSBC
Gsi Commerce Inc	GSIC	Gsi Technology	GSIT
Globe Specialty Metals	GSM	Gastar Expl Ltd	GST
Gasco Energy Inc	GSX	Goodyear Tire & Rubr	GT
Golf Tr Amer Inc	GTA	Gtc Biotherapeutics Inc	GTCB
Global Defense Tech Sys	GTEC	Cytomedix Inc	GTF
Graftech Intl Ltd	GTI	Gentiva Health Servi	GTIV
Chart Inds Inc	GTLS	Gray Television Inc	GTN
Triple-S Mgmt Corp	GTS	Gtsi Corp	GTSI
Gtx Inc Del	GTXI	Getty Rlty Corp New	GTY
Guidance Software In	GUID	Goldfield Corp	GV
Granite Constr Inc	GVA	Gse Sys Inc	GVP
Genesee & Wyo Inc	GWR	Grainger W W Inc	GWW
Genoptix Inc	GXDX	Great Plains Energy	GXP
Gencorp Inc	GY	Gymboree Corp	GYMB
Hyatt Hotels Corp	H	Hawaiian Holdings In	HA
Haemonetics Corp	HAE	Hanmi Finl Corp	HAFC
Hain Celestial Group	HAIN	Halliburton Co	HAL
Hallmark Finl Svcs I	HALL	Halozyme Therapeutic	HALO
Hansen Nat Corp	HANS	Harman Intl Inds Inc	HAR
Harleysville Svgs Fi	HARL	Hasbro Bradley Inc	HAS
Hastings Entmt Inc	HAST	Hauppague Digital In	HAUP
Haynes International	HAYN	Huntington Bancshare	HBAN
Home Bancorp Inc	HBCP	Henry Bros Electroni	HBE
Hancock Hldg Co	HBHC	Hanesbrands Inc	HBI
Harvard Bioscience I	HBIO	Horizon Bancorp Ind	HBNC
Hampden Bancorp Inc	HBNK	Hudson City Bancorp	HCBK
Hcc Ins Hldgs Inc	HCC	Heritage Crystal Clean	HCCI
Homeowners Choice Inc	HCII	Hackett Group Inc	HCKT
Health Care Reit Inc	HCN	Hcp Inc	HCP
Health Care Group In	HCSG	Home Depot Inc	HD
Home Diagnostics Inc	HDIX	Hardinge Inc	HDNG
Hudson Technologies	HDSN	Hyperdynamics Corp	HDY
Hawaiian Elec Indust	HE	Hemispherx Biopharma	HEB
H & E Equipment Serv	HEES	Heico Corp New	HEI.A
Helen Of Troy Corp L	HELE	Heritage Oaks Bancor	HEOP
Holly Energy Partner	HEP	Hollis-Eden Pharmace	HEPH
Hercules Offshore In	HERO	Hess Corp	HES
Ener1 Inc	HEV	Hewitt Assocs Inc	HEW
Healthwarehouse.Com	HEWA	Hff Inc	HF
Heritage Finl Corp W	HFWA	Hhgregg Inc	HGG
Harleysville Group I	HGIC	Hanger Orthopedic Gr	HGR
Health Grades Inc	HGRD	Human Genome Science	HGSI
Hugoton Rty Tr Tex	HGT	Hooper Holmes Inc	HH
Hudson Highland Grou	HHGP	Harte-Hanks Inc	HHS
Hillenbrand Inc	HI	Hibbett Sports Inc	HIBB
Hartford Finl Svcs G	HIG	Hill International I	HIL
Dot Hill Sys Corp	HILL	Hi-Tech Pharmacal In	HITK
Hittite Microwave Co	HITT	Highwoods Pptys Inc	HIW
Petrohawk Energy Cor	HK	Hkn Inc	HKN
Hecla Mng Co	HL	Helicos Biosciences Cor	HLCS
Herbalife Ltd	HLF	Harmonic Lightwaves	HLIT
Healthsouth Corp	HLS	Helix Energy Solutio	HLX
Heelys Inc	HLYS	Health Mgmt Assoc In	HMA
Home Pptys Inc	HME	Horace Mann Educator	HMN
Hmn Finl Inc	HMNF	Hampton Roads Banksh	HMPR
Hms Hldgs Corp	HMSY	Hana Biosciences Inc	HNAB
Harleysville Natl Pa	HNBC	Hni Corp	HNI
Harvest Natural Reso	HNR	Hansen Medical Inc	HNSN
Health Net Inc.	HNT	Heinz H J Co	HNZ
Holly Corp	HOC	Hooker Furniture Cor	HOFT
Harley Davidson Inc	HOG	Hoku Scientific Inc	HOKU
Hollywood Media Corp	HOLL	Hologic Inc	HOLX
Home Bancshares Inc	HOMB	Home Fed Bancorp Inc Md	HOME
Homeland Sec Cap Corp	HOMS	Honeywell Intl Inc	HON
Craft Brewers Alliance	HOOK	Hornbeck Offshore Sv	HOS
Starwood Hotels&Reso	HOT	Hot Topic Inc	HOTT
Hovnanian Enterprise	HOV	Helmerich & Payne In	HP
Harris Interactive I	HPOL	Hewlett Packard Co	HPQ
Hospitality Pptys Tr	HPT	Heartland Pmt Sys In	HPY
Hq Sustainable Marit	HQS	Healthcare Rlty Tr	HR
Block H & R Inc	HRB	Hill Rom Hldgs Inc	HRC
Harbinger Group Inc	HRG	Hormel Geo A & Co	HRL
Herley Inds Inc	HRLY	Hrpt Pptys Tr	HRP
Harris Corp Del	HRS	Arrhythmia Resh Tech	HRT
Horizon Lines Inc	HRZ	Horizon Finl Corp Wa	HRZB
Healthspring Inc	HS	Harsco Corp	HSC
Schein Henry Inc	HSIC	Heidrick & Struggles	HSII
Heska Corp	HSKA	Hsn Inc	HSNI
Hospira Inc	HSP	Host Hotels & Resorts	HST
Healthstream Inc	HSTM	Hsw International Inc	HSWI
Hershey Foods Corp	HSY	Hersha Hospitality T	HT
Heritage Commerce Co	HTBK	Hutchinson Technolog	HTCH
Hickory Tech Corp	HTCO	Hilltop Holdings Inc	HTH
Heartland Express In	HTLD	Heartland Finl Usa I	HTLF
U S Geothermal Inc	HTM	Healthtronics Inc	HTRN
Hatteras Finl Corp	HTS	Hertz Global Holding	HTZ
Hubbell Inc	HUB.B	Hub Group Inc	HUBG
Hughes Communication	HUGH	Humana Inc	HUM
Huntsman Corp	HUN	Hurco Mfg Inc	HURC
Huron Consulting Gro	HURN	Houston Amern Energy	HUSA
Haverty Furniture In	HVT	Headwaters Inc	HW
Healthways Inc	HWAY	Hawthorn Bancshares Inc	HWBK
Houston Wire & Cable	HWCC	Harrington West Finl	HWFG
Hallwood Group Inc	HWG	Hawk Corp	HWK
Hawkins Inc	HWKN	Hexcel Corp New	HXL
Hypercom Corp	HYC	Hythiam Inc	HYTM
Marinemax Inc	HZO	International Assets	IAAC
Iac Interactivecorp	IACI	Ia Global Inc	IAO
Integra Lifesciences	IART	Intervest Bancshares	IBCA
Independent Bk Corp	IBCP	Interline Brands Inc	IBI
Iberiabank Corp	IBKC	Interactive Brokers Gro	IBKR
Intl Business Mchn	IBM	Integra Bk Corp	IBNK
International Bncshr	IBOC	Icad Inc	ICAD
Intercontinentalexch	ICE	Icf Intl Inc	ICFI
Internet Cap Group I	ICGE	Icagen Inc	ICGN
Investors Cap Hldgs	ICH	International Coal G	ICO
Ico Hldgs Inc	ICOC	Ico Global Comm Hldg	ICOG
Iconix Brand Group I	ICON	Icop Digital Inc	ICOP
Ict Group Inc	ICTG	Icu Med Inc	ICUI
Icx Technologies Inc	ICXT	L-1 Identity Solutio	ID
Idacorp Inc	IDA	Interactive Data Cor	IDC
Interdigital Inc	IDCC	Idenix Pharmaceutica	IDIX
Intelli-Check Inc	IDN	Idera Pharmaceutical	IDRA
Industrial Svcs Amer	IDSA	I D Systems Inc	IDSY
Idt Corp	IDT	Integrated Device Te	IDTI
Idexx Labs Inc	IDXX	Iec Electrs Corp New	IEC
